# Labophot halogen measurements 12 July 2022
#             collector base   lamp  	base	lamp
# dial	Vcc	yellow	brown   mA	mA	V
OFF                             10 	0	0
1	7.6	6.94	.64	770	0	.2
1.5	7.51	6.9	.64	770	0	.2
2	7.5	6.6	.65	910	9	.3	# very dim
2.5	7.36	6	.68	1180	11	.6
3	7.25	5.3	.70	1520	17	1.2
3.5	7.19	5	.71	1690	18	1.5
4	7.12	4.6	.73	1850	22.5	1.85
4.5	7.06	4	.74	2110	26	2.4
5	6.95	3.2	.78	2430	34	3.3
5.5	6.8	2	.81	2870	47	4.5
6	6.6	0.9	.85	3170	69	5.5
